,title,year,genre,country_first,iso3,continent
45,Il ritorno del dottor X,1939,"Horror, Mystery, Sci-Fi",USA,USA,North America
46,Il figlio di Frankenstein,1939,"Drama, Horror, Sci-Fi",USA,USA,North America
47,Torture Ship,1939,"Horror, Sci-Fi",USA,USA,North America
48,Prima che m'impicchino,1940,"Crime, Horror, Sci-Fi",USA,USA,North America
49,Notti di terrore,1940,"Horror, Sci-Fi",USA,USA,North America
50,Flash Gordon - I conquistatori dell'Universo,1940,"Action, Adventure, Sci-Fi",USA,USA,North America
51,La donna invisibile,1940,"Comedy, Romance, Sci-Fi",USA,USA,North America
52,Uomini dalle 9 vite,1940,"Mystery, Sci-Fi",USA,USA,North America
53,Men with Steel Faces,1940,"Adventure, Music, Sci-Fi",USA,USA,North America
54,The Body Disappears,1941,"Comedy, Romance, Sci-Fi",USA,USA,North America
55,The Devil Commands,1941,"Horror, Sci-Fi",USA,USA,North America
56,Il dottor Jekyll e Mr. Hyde,1941,"Drama, Horror, Sci-Fi",USA,USA,North America
57,Man Made Monster,1941,"Drama, Horror, Sci-Fi",USA,USA,North America
58,Il corpo scomparso,1942,"Horror, Sci-Fi",USA,USA,North America
59,Il terrore di Frankenstein,1942,"Drama, Horror, Sci-Fi",USA,USA,North America
60,Captive Wild Woman,1943,"Horror, Sci-Fi",USA,USA,North America
61,Frankenstein contro l'uomo lupo,1943,"Fantasy, Horror, Sci-Fi",USA,USA,North America
62,The Mad Ghoul,1943,"Horror, Sci-Fi, Thriller",USA,USA,North America
63,Captain America,1944,"Action, Adventure, Sci-Fi",USA,USA,North America
64,Al di là del mistero,1944,"Fantasy, Horror, Sci-Fi",USA,USA,North America
65,La rivincita dell'uomo invisibile,1944,"Horror, Sci-Fi",USA,USA,North America
66,La donna e il mostro,1944,"Horror, Sci-Fi, Thriller",USA,USA,North America
67,Il fabbricante di mostri,1944,"Horror, Sci-Fi",USA,USA,North America
68,Return of the Ape Man,1944,"Horror, Romance, Sci-Fi",USA,USA,North America
69,Time Flies,1944,"Comedy, Sci-Fi",United Kingdom,GBR,Europe
70,La casa degli orrori,1945,"Fantasy, Horror, Sci-Fi",USA,USA,North America
71,The Jade Mask,1945,"Horror, Mystery, Sci-Fi",USA,USA,North America
72,The Jungle Captive,1945,"Horror, Sci-Fi",USA,USA,North America
73,Manhunt of Mystery Island,1945,"Action, Sci-Fi",USA,USA,North America
74,The Purple Monster Strikes,1945,"Action, Sci-Fi",USA,USA,North America
75,Gli affari di suo marito,1947,"Comedy, Sci-Fi",USA,USA,North America
