,title,year,genre,country_first,iso3,continent
739,Strange Behavior,1981,"Horror, Mystery, Sci-Fi",Australia,AUS,Oceania
740,Nel profondo del delirio,1981,"Horror, Sci-Fi",France,FRA,Europe
741,Prigionieri della Terra,1981,"Family, Sci-Fi, Comedy",USA,USA,North America
742,Turkey Shoot,1982,"Drama, Horror, Sci-Fi",Australia,AUS,Oceania
743,1997: fuga da New York,1981,"Action, Adventure, Sci-Fi",USA,USA,North America
744,Firebird 2015 AD,1981,"Action, Romance, Sci-Fi",Canada,CAN,North America
745,L'isola del dottor Frankenstein,1981,"Horror, Sci-Fi",USA,USA,North America
746,I visitatori della galassia arcana,1981,"Comedy, Horror, Sci-Fi",Macedonia,MKD,Europe
747,Heartbeeps,1981,"Comedy, Sci-Fi",USA,USA,North America
748,The Incredible Shrinking Woman,1981,"Comedy, Sci-Fi",USA,USA,North America
749,Virus,1980,"Horror, Sci-Fi, Thriller",Italy,ITA,Europe
750,Io e Caterina,1980,"Comedy, Sci-Fi",Italy,ITA,Europe
751,The Last Chase,1981,"Action, Adventure, Sci-Fi",Canada,CAN,North America
752,Troppo belle per vivere,1981,"Drama, Sci-Fi, Thriller",USA,USA,North America
753,Interceptor - Il guerriero della strada,1981,"Action, Adventure, Sci-Fi",Australia,AUS,Oceania
754,Malevil,1981,"Drama, Sci-Fi",France,FRA,Europe
755,Memoirs of a Survivor,1981,Sci-Fi,United Kingdom,GBR,Europe
756,Gelosissimamente... tuo,1981,"Comedy, Fantasy, Sci-Fi",USA,USA,North America
757,Night of the Zombies,1981,"Horror, Sci-Fi",USA,USA,North America
758,Atmosfera zero,1981,"Action, Crime, Sci-Fi",United Kingdom,GBR,Europe
759,Sengoku jieitai,1979,"Action, Adventure, Sci-Fi",Japan,JPN,Asia
760,A cuore aperto,1981,"Drama, Sci-Fi",Canada,CAN,North America
761,Wojna swiatów - nastepne stulecie,1981,"Sci-Fi, Thriller",Poland,POL,Europe
762,The Aftermath,1982,"Sci-Fi, Thriller",USA,USA,North America
763,L'aereo più pazzo del mondo... sempre più pazzo,1982,"Comedy, Sci-Fi",USA,USA,North America
764,Android - Molto più che umano,1982,Sci-Fi,USA,USA,North America
765,Anno 2020 - I gladiatori del futuro,1983,"Action, Sci-Fi",Italy,ITA,Europe
766,Bakuretsu toshi,1982,"Action, Music, Sci-Fi",Japan,JPN,Asia
767,Blade Runner,1982,"Action, Sci-Fi, Thriller",USA,USA,North America
768,Brainwaves onde cerebrali,1982,"Sci-Fi, Thriller",USA,USA,North America
769,Britannia Hospital,1982,"Comedy, Sci-Fi",United Kingdom,GBR,Europe
770,Occhi nella notte,1982,"Horror, Sci-Fi, Thriller",Canada,CAN,North America
771,E.T. - L'extra-terrestre,1982,"Family, Sci-Fi",USA,USA,North America
772,Forbidden World,1982,"Horror, Sci-Fi",USA,USA,North America
773,Inseminoid - Un tempo nel futuro,1981,"Horror, Sci-Fi",United Kingdom,GBR,Europe
774,Human Highway,1982,"Comedy, Drama, Sci-Fi",USA,USA,North America
775,Scuola di sesso,1982,"Sci-Fi, Comedy, Music",USA,USA,North America
776,Kamikaze 1989,1982,"Sci-Fi, Thriller",Germany,DEU,Europe
777,Les maîtres du temps,1982,"Animation, Adventure, Sci-Fi",France,FRA,Europe
778,Megaforce,1982,"Action, Sci-Fi",Hong Kong,HKG,Asia
779,I nuovi barbari,1983,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
780,Paradis pour tous,1982,"Comedy, Drama, Sci-Fi",France,FRA,Europe
781,Mutanti,1982,"Horror, Sci-Fi",USA,USA,North America
782,Il prezzo del pericolo,1983,"Action, Drama, Sci-Fi",France,FRA,Europe
783,Il messaggero della morte,1982,"Drama, Horror, Sci-Fi",United Kingdom,GBR,Europe
784,Srdecný pozdrav ze zemekoule,1983,"Comedy, Sci-Fi",Czechia,CZE,Europe
785,Star Trek II - L'ira di Khan,1982,"Action, Adventure, Sci-Fi",USA,USA,North America
786,Il mostro della palude,1982,"Horror, Sci-Fi",USA,USA,North America
787,La cosa,1982,"Horror, Mystery, Sci-Fi",USA,USA,North America
788,Time Walker,1982,"Horror, Sci-Fi",USA,USA,North America
789,Tron,1982,"Action, Adventure, Sci-Fi",USA,USA,North America
790,Voyager from the Unknown,1982,"Family, Fantasy, Sci-Fi",USA,USA,North America
791,Destructors,1982,"Action, Adventure, Sci-Fi",New Zealand,NZL,Oceania
792,Zapped! - Il college più sballato d'America,1982,"Comedy, Fantasy, Sci-Fi",USA,USA,North America
793,1990: I guerrieri del Bronx,1982,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
794,2019 - Dopo la caduta di New York,1983,"Action, Horror, Sci-Fi",Italy,ITA,Europe
795,Angel of H.E.A.T.,1983,"Action, Comedy, Sci-Fi",USA,USA,North America
796,Anna to the Infinite Power,1983,"Drama, Sci-Fi",USA,USA,North America
797,The Being,1983,"Horror, Sci-Fi",USA,USA,North America
798,Nate tra le fiamme,1983,"Comedy, Drama, Sci-Fi",USA,USA,North America
799,Brainstorm - Generazione elettronica,1983,"Sci-Fi, Thriller",USA,USA,North America
800,La zona morta,1983,"Drama, Horror, Sci-Fi",USA,USA,North America
801,Le dernier combat,1983,Sci-Fi,France,FRA,Europe
802,El E.T.E. y el Oto,1983,"Comedy, Sci-Fi",Spain,ESP,Europe
803,Il giustiziere della strada,1983,"Action, Sci-Fi",Italy,ITA,Europe
804,L'ultimo guerriero,1984,"Action, Sci-Fi",Italy,ITA,Europe
805,I guerrieri dell'anno 2072,1984,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
806,Halloween III - Il signore della notte,1982,"Horror, Mystery, Sci-Fi",USA,USA,North America
807,Terremoto 10° grado,1977,Sci-Fi,Japan,JPN,Asia
808,Liquid Sky,1982,"Sci-Fi, Thriller",USA,USA,North America
809,Ho perso la testa per un cervello,1983,"Comedy, Romance, Sci-Fi",USA,USA,North America
810,Nightbeast,1982,"Horror, Sci-Fi",USA,USA,North America
811,Nightmares - Incubi,1983,"Horror, Sci-Fi",USA,USA,North America
812,Visitors - I nuovi extraterrestri,1983,"Fantasy, Horror, Sci-Fi",Spain,ESP,Europe
813,I predatori di Atlantide,1983,"Action, Sci-Fi",Italy,ITA,Europe
814,The Prodigal Planet,1983,"Sci-Fi, Thriller",USA,USA,North America
815,Rats - Notte di terrore,1984,"Horror, Sci-Fi",Italy,ITA,Europe
816,Rush,1983,"Adventure, Sci-Fi",Italy,ITA,Europe
817,"Sayônara, Jûpetâ",1984,"Drama, Sci-Fi",Japan,JPN,Asia
818,Space Raiders,1983,"Action, Adventure, Sci-Fi",USA,USA,North America
819,Il cacciatore dello spazio,1983,"Action, Adventure, Sci-Fi",USA,USA,North America
820,Spasms,1983,"Horror, Sci-Fi",Canada,CAN,North America
821,La strana voglia,1983,"Comedy, Crime, Sci-Fi",Canada,CAN,North America
822,Strange Invaders,1983,"Horror, Mystery, Sci-Fi",USA,USA,North America
823,Stryker,1983,"Action, Sci-Fi",Philippines,PHL,Asia
824,Taking Tiger Mountain,1983,Sci-Fi,United Kingdom,GBR,Europe
825,Timerider - Una moto contro il muro del tempo,1982,"Action, Adventure, Sci-Fi",USA,USA,North America
826,The Little Girl Who Conquered Time,1983,"Romance, Sci-Fi",Japan,JPN,Asia
827,Ai confini della realtà,1983,"Horror, Sci-Fi",USA,USA,North America
828,Videodrome,1983,"Horror, Sci-Fi, Thriller",Canada,CAN,North America
829,Wavelength,1983,"Sci-Fi, Thriller",USA,USA,North America
830,"Xtro, attacco alla Terra",1982,"Horror, Sci-Fi",United Kingdom,GBR,Europe
831,2010 - L'anno del contatto,1984,"Adventure, Mystery, Sci-Fi",USA,USA,North America
832,Terrore ad Amityville Park,1977,"Horror, Mystery, Sci-Fi",United Kingdom,GBR,Europe
833,1997: il principio dell'arca di Noè,1984,Sci-Fi,Germany,DEU,Europe
834,Biohazard,1985,"Horror, Sci-Fi",USA,USA,North America
835,Blind Date,1984,"Horror, Sci-Fi, Thriller",United Kingdom,GBR,Europe
836,Transformer,1984,"Comedy, Horror, Sci-Fi",USA,USA,North America
837,Fratello di un altro pianeta,1984,"Comedy, Sci-Fi",USA,USA,North America
838,C.H.U.D.,1984,"Horror, Sci-Fi",USA,USA,North America
839,Chelovek-nevidimka,1984,"Sci-Fi, Drama",Russia,RUS,Europe
840,Decoder,1984,"Horror, Mystery, Sci-Fi",Germany,DEU,Europe
841,DEFCON-4,1985,"Action, Sci-Fi",Canada,CAN,North America
842,Dune,1984,"Action, Adventure, Sci-Fi",USA,USA,North America
843,Fenomeni paranormali incontrollabili,1984,"Action, Horror, Sci-Fi",USA,USA,North America
844,Frankenstein 90,1984,"Comedy, Horror, Sci-Fi",France,FRA,Europe
845,Frankenstein's Great Aunt Tillie,1984,"Comedy, Horror, Sci-Fi",United Kingdom,GBR,Europe
846,Rage - Fuoco incrociato,1984,"Action, Thriller, Sci-Fi",Italy,ITA,Europe
847,Godzilla 1985,1985,"Action, Horror, Sci-Fi",Japan,JPN,Asia
848,L'uomo dei ghiacci,1984,"Drama, Sci-Fi",USA,USA,North America
849,Impulse,1984,"Horror, Mystery, Sci-Fi",USA,USA,North America
850,Interface,1984,"Comedy, Horror, Sci-Fi",USA,USA,North America
851,The Astral Factor,1978,"Sci-Fi, Thriller",USA,USA,North America
852,Giochi stellari,1984,"Action, Adventure, Sci-Fi",USA,USA,North America
853,L'ascensore,1983,"Horror, Sci-Fi, Thriller",Netherlands,NLD,Europe
854,The Next One,1984,"Drama, Fantasy, Sci-Fi",USA,USA,North America
855,Mutant,1984,"Horror, Sci-Fi, Thriller",USA,USA,North America
856,La notte della cometa,1984,"Comedy, Horror, Sci-Fi",USA,USA,North America
857,Orwell 1984,1984,"Drama, Sci-Fi",United Kingdom,GBR,Europe
858,Prison Ship,1986,"Action, Comedy, Sci-Fi",USA,USA,North America
859,The Deadly Spawn,1983,"Horror, Sci-Fi",USA,USA,North America
860,Runaway,1984,"Action, Crime, Sci-Fi",USA,USA,North America
861,SF Shinseiki Lensman,1984,"Animation, Adventure, Sci-Fi",Japan,JPN,Asia
862,Seksmisja,1984,"Adventure, Comedy, Sci-Fi",Poland,POL,Europe
863,Comiche dell'altro mondo,1982,"Comedy, Fantasy, Sci-Fi",USA,USA,North America
864,Star Trek III - Alla ricerca di Spock,1984,"Action, Adventure, Sci-Fi",USA,USA,North America
865,Starman,1984,"Romance, Sci-Fi",USA,USA,North America
866,Strangers in Paradise,1984,"Comedy, Musical, Sci-Fi",USA,USA,North America
867,Terminator,1984,"Action, Sci-Fi",United Kingdom,GBR,Europe
868,Tie jia wu di Ma Li Ya,1988,Sci-Fi,Hong Kong,HKG,Asia
869,I predatori dell'anno omega,1984,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
870,Wheels of Fire,1985,"Action, Adventure, Sci-Fi",Philippines,PHL,Asia
871,Il testamento del dottor Dowell,1984,"Drama, Sci-Fi",Russia,RUS,Europe
872,Alien Warrior,1986,"Action, Crime, Sci-Fi",Canada,CAN,North America
873,The Naked Monster,2005,"Comedy, Horror, Sci-Fi",USA,USA,North America
874,Baby - Il segreto della leggenda perduta,1985,"Family, Adventure, Sci-Fi",USA,USA,North America
875,Ritorno al futuro,1985,"Adventure, Comedy, Sci-Fi",USA,USA,North America
876,Brazil,1985,"Drama, Sci-Fi",United Kingdom,GBR,Europe
877,El caballero del dragón,1985,"Adventure, Fantasy, Sci-Fi",Spain,ESP,Europe
878,I cavalieri del futuro,1984,"Action, Adventure, Sci-Fi",USA,USA,North America
879,Cocoon - L'energia dell'universo,1985,"Comedy, Drama, Sci-Fi",USA,USA,North America
880,Colpi di luce,1985,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
881,Dr. Creator - Specialista in miracoli,1985,"Comedy, Romance, Sci-Fi",USA,USA,North America
882,Creature - Il mistero della prima luna,1985,"Horror, Sci-Fi",USA,USA,North America
883,D.A.R.Y.L.,1985,"Family, Sci-Fi",United Kingdom,GBR,Europe
884,Neuro Killers,1984,"Horror, Sci-Fi",Australia,AUS,Oceania
885,Il demone delle galassie infernali,1984,"Fantasy, Horror, Sci-Fi",USA,USA,North America
886,Endgame - Bronx lotta finale,1983,"Action, Sci-Fi",Italy,ITA,Europe
887,Fuga dal Bronx,1983,"Action, Sci-Fi, Thriller",Italy,ITA,Europe
888,Evils of the Night,1985,"Horror, Sci-Fi",USA,USA,North America
889,Hobgoblins - La stirpe da estirpare,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
890,Mad Max - Oltre la sfera del tuono,1985,"Action, Adventure, Sci-Fi",Australia,AUS,Oceania
891,Lunnaya raduga,1983,"Drama, Mystery, Sci-Fi",Russia,RUS,Europe
892,Morons from Outer Space,1985,"Comedy, Sci-Fi",United Kingdom,GBR,Europe
893,"O-bi, O-ba - Koniec cywilizacji",1985,"Drama, Mystery, Sci-Fi",Poland,POL,Europe
894,La terra silenziosa,1985,"Drama, Mystery, Sci-Fi",New Zealand,NZL,Oceania
895,Re-Animator,1985,"Comedy, Horror, Sci-Fi",USA,USA,North America
896,Scuola di geni,1985,"Comedy, Romance, Sci-Fi",USA,USA,North America
897,Il ritorno dei morti viventi,1985,"Comedy, Horror, Sci-Fi",USA,USA,North America
898,The Revenge of the Teenage Vixens from Outer Space,1985,"Comedy, Sci-Fi",USA,USA,North America
899,Roller Blade,1986,"Action, Comedy, Sci-Fi",USA,USA,North America
900,Space Rage,1985,"Action, Sci-Fi, Western",USA,USA,North America
901,Starship,1984,Sci-Fi,Australia,AUS,Oceania
902,Stuff - Il gelato che uccide,1985,"Comedy, Horror, Sci-Fi",USA,USA,North America
903,Terror in the Swamp,1985,"Horror, Sci-Fi",USA,USA,North America
904,Thunder Run,1986,"Action, Sci-Fi, Thriller",USA,USA,North America
905,Trancers - Corsa nel tempo,1984,"Action, Sci-Fi",USA,USA,North America
906,Tranches de vie,1985,"Comedy, Sci-Fi",France,FRA,Europe
907,3 Supermen contro il Padrino,1979,"Comedy, Crime, Sci-Fi",Italy,ITA,Europe
908,Underworld,1985,"Action, Horror, Sci-Fi",United Kingdom,GBR,Europe
909,Ein Virus kennt keine Moral,1986,"Comedy, Drama, Sci-Fi",Germany,DEU,Europe
910,Allarme rosso,1985,"Drama, Sci-Fi, Thriller",USA,USA,North America
911,Warriors of the Apocalypse,1985,"Action, Sci-Fi",Philippines,PHL,Asia
912,L'astronave di fuoco,1987,"Action, Adventure, Sci-Fi",Hong Kong,HKG,Asia
913,La donna esplosiva,1985,"Comedy, Romance, Sci-Fi",USA,USA,North America
914,Aliens - Scontro finale,1986,"Action, Adventure, Sci-Fi",USA,USA,North America
915,America 3000,1986,"Action, Adventure, Sci-Fi",USA,USA,North America
916,Incontri ravvicinati ad Aurora,1986,"Comedy, Drama, Sci-Fi",USA,USA,North America
917,Avventura nel tempo,1986,"Adventure, Family, Sci-Fi",United Kingdom,GBR,Europe
918,Breeders,1986,"Horror, Sci-Fi",USA,USA,North America
919,Energia pulita,1986,"Action, Sci-Fi",USA,USA,North America
920,Supermarket horror,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
921,Class of Nuke 'Em High,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
922,Critters - Gli extraroditori,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
923,Dovevi essere morta,1986,"Drama, Horror, Sci-Fi",USA,USA,North America
924,Dr. Otto and the Riddle of the Gloom Beam,1985,"Comedy, Sci-Fi",USA,USA,North America
925,Eat and Run,1987,"Comedy, Crime, Sci-Fi",USA,USA,North America
926,Equalizer 2000,1987,"Action, Adventure, Sci-Fi",USA,USA,North America
927,La mosca,1986,"Drama, Horror, Sci-Fi",USA,USA,North America
928,From Beyond - Terrore dall'ignoto,1986,"Horror, Sci-Fi",USA,USA,North America
929,"Ga, Ga - Chwala bohaterom",1986,"Comedy, Horror, Sci-Fi",Poland,POL,Europe
930,Il ritorno del samurai,1984,"Action, Sci-Fi",USA,USA,North America
931,Gröna gubbar från Y.R.,1986,"Family, Sci-Fi",Sweden,SWE,Europe
932,Vendetta dal futuro,1986,"Action, Sci-Fi",Italy,ITA,Europe
933,Hombre mirando al sudeste,1986,"Drama, Mystery, Sci-Fi",Argentina,ARG,South America
934,Hyper sapien: gli extraterrestri ci guardano,1986,"Family, Sci-Fi",Canada,CAN,North America
935,Invaders,1986,"Horror, Sci-Fi",USA,USA,North America
936,Kamikaze,1986,"Sci-Fi, Thriller",France,FRA,Europe
937,Kin-dza-dza!,1986,"Comedy, Drama, Sci-Fi",Russia,RUS,Europe
938,The Kindred,1987,"Horror, Sci-Fi, Thriller",USA,USA,North America
939,Malcolm,1986,"Comedy, Crime, Sci-Fi",Australia,AUS,Oceania
940,Gioco mortale,1986,"Sci-Fi, Thriller",USA,USA,North America
941,Non aprite quell'armadio,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
942,Dimensione terrore,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
943,Nightmare Weekend,1986,"Horror, Sci-Fi",United Kingdom,GBR,Europe
944,Quell'ultimo giorno,1986,"Drama, Sci-Fi",Russia,RUS,Europe
945,American Way - I folli dell'etere,1986,"Comedy, Sci-Fi",United Kingdom,GBR,Europe
946,Corto circuito,1986,"Comedy, Family, Sci-Fi",USA,USA,North America
947,Pirati del cielo,1986,"Adventure, Sci-Fi",Australia,AUS,Oceania
948,Space Camp - Gravità zero,1986,"Adventure, Family, Sci-Fi",USA,USA,North America
949,Star Crystal,1986,"Horror, Sci-Fi, Thriller",USA,USA,North America
950,Rotta verso la Terra,1986,"Adventure, Comedy, Sci-Fi",USA,USA,North America
951,The Supernaturals,1986,"Horror, Mystery, Sci-Fi",USA,USA,North America
952,Terminus,1987,Sci-Fi,France,FRA,Europe
953,Terror Vision - Visioni del terrore,1986,"Comedy, Horror, Sci-Fi",USA,USA,North America
954,The Vindicator,1986,"Action, Sci-Fi, Thriller",Canada,CAN,North America
955,Wired to Kill,1986,"Action, Sci-Fi",USA,USA,North America
956,Xaver,1986,"Comedy, Sci-Fi",Germany,DEU,Europe
957,Alien - Zona di guerra,1985,"Action, Adventure, Sci-Fi",USA,USA,North America
958,Alien Predator,1986,"Drama, Horror, Sci-Fi",USA,USA,North America
959,Un'aliena al centro della Terra,1988,"Adventure, Comedy, Sci-Fi",USA,USA,North America
960,Donne amazzoni sulla luna,1987,"Comedy, Sci-Fi",USA,USA,North America
961,Fuori di testa,1987,"Comedy, Horror, Sci-Fi",New Zealand,NZL,Oceania
962,Beyond the Rising Moon,1987,"Adventure, Sci-Fi, Thriller",USA,USA,North America
963,Bloody New Year,1987,"Horror, Mystery, Sci-Fi",United Kingdom,GBR,Europe
964,Creepozoids - Vi strapperemo la carne dalle ossa (1987),1987,"Horror, Sci-Fi",USA,USA,North America
965,La fattoria maledetta,1987,"Horror, Sci-Fi",Italy,ITA,Europe
966,Cyclone - Arma fatale,1987,"Action, Drama, Sci-Fi",USA,USA,North America
967,Dead Man Walking,1988,"Action, Sci-Fi",USA,USA,North America
968,Nel profondo dello spazio,1988,"Horror, Sci-Fi",USA,USA,North America
969,Evil Spawn,1987,"Horror, Sci-Fi",USA,USA,North America
970,Friendship's Death,1987,"Drama, Sci-Fi",United Kingdom,GBR,Europe
971,Apocalisse a Frogtown - La città delle rane,1988,"Action, Comedy, Sci-Fi",USA,USA,North America
972,L'alieno,1987,"Horror, Sci-Fi, Thriller",USA,USA,North America
973,Le ali di Honneamise,1987,"Animation, Drama, Sci-Fi",Japan,JPN,Asia
974,Interzone,1989,"Action, Comedy, Sci-Fi",Italy,ITA,Europe
975,Invasion Earth: The Aliens Are Here,1988,"Comedy, Sci-Fi",USA,USA,North America
976,Baby Killer III,1987,"Horror, Sci-Fi",USA,USA,North America
977,King Lear,1987,"Comedy, Drama, Sci-Fi",USA,USA,North America
978,Leonard salverà il mondo,1987,"Action, Comedy, Sci-Fi",USA,USA,North America
979,Cercasi l'uomo giusto,1987,"Comedy, Romance, Sci-Fi",USA,USA,North America
980,Miami Golem,1985,"Action, Horror, Sci-Fi",Italy,ITA,Europe
981,Nice Girls Don't Explode,1987,"Comedy, Romance, Sci-Fi",USA,USA,North America
982,Misteriose forme di vita,1987,"Horror, Sci-Fi, Thriller",USA,USA,North America
983,The Occultist,1988,"Action, Sci-Fi",USA,USA,North America
984,Phoenix the Warrior,1988,"Action, Sci-Fi",USA,USA,North America
985,The Pink Chiquitas,1987,"Comedy, Horror, Sci-Fi",Canada,CAN,North America
986,Predator,1987,"Action, Adventure, Sci-Fi",USA,USA,North America
987,Programmed to Kill,1987,"Sci-Fi, Action",USA,USA,North America
988,Proini peripolos,1987,"Drama, Sci-Fi",Greece,GRC,Europe
989,Fuga dal futuro - Danger Zone,1987,"Comedy, Drama, Sci-Fi",USA,USA,North America
990,Real Men - Noi uomini duri,1987,"Action, Comedy, Sci-Fi",USA,USA,North America
991,Videokiller,1988,"Comedy, Romance, Sci-Fi",USA,USA,North America
992,RoboCop,1987,"Action, Crime, Sci-Fi",USA,USA,North America
993,I robot conquistano il mondo,1987,Sci-Fi,Italy,ITA,Europe
994,L'implacabile,1987,"Action, Sci-Fi, Thriller",USA,USA,North America
995,Balle spaziali,1987,"Adventure, Comedy, Sci-Fi",USA,USA,North America
996,Alba d'acciaio,1987,"Action, Adventure, Sci-Fi",USA,USA,North America
997,Extralunati,1987,Sci-Fi,USA,USA,North America
998,Superman IV,1987,"Action, Adventure, Sci-Fi",United Kingdom,GBR,Europe
999,Il sopravvissuto,1987,"Action, Drama, Sci-Fi",USA,USA,North America
1000,Terminators 2,1987,"Action, Romance, Sci-Fi",Australia,AUS,Oceania
1001,Shuto shôshitsu,1987,"Mystery, Sci-Fi",Japan,JPN,Asia
1002,Dimensioni parallele,1986,"Comedy, Sci-Fi",USA,USA,North America
1003,The Visitants,1986,"Comedy, Sci-Fi",USA,USA,North America
1004,Zerkalo dlya geroya,1987,"Drama, Fantasy, Sci-Fi",Russia,RUS,Europe
1005,Accidents,1989,"Action, Sci-Fi, Thriller",South Africa,ZAF,Africa
1006,Akira,1988,"Animation, Action, Sci-Fi",Japan,JPN,Asia
1007,Alien nation,1988,"Action, Sci-Fi",USA,USA,North America
1008,Transformations,1988,"Horror, Sci-Fi",Italy,ITA,Europe
1009,Andy Colby's Incredible Adventure,1988,"Adventure, Fantasy, Sci-Fi",USA,USA,North America
1010,L'australieno,1988,"Comedy, Sci-Fi",Australia,AUS,Oceania
1011,Il fluido che uccide,1988,"Horror, Sci-Fi, Thriller",USA,USA,North America
1012,Giochi di morte,1989,"Action, Sci-Fi, Sport",Australia,AUS,Oceania
1013,The Brain,1988,"Horror, Sci-Fi",Canada,CAN,North America
1014,Critters 2,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1015,Cyborg - Il guerriero d'acciaio,1989,"Action, Sci-Fi",Italy,ITA,Europe
1016,Demonwarp,1988,"Horror, Mystery, Sci-Fi",USA,USA,North America
1017,Desert Warrior,1988,"Action, Sci-Fi",USA,USA,North America
1018,I giorni dell'eclisse,1988,"Drama, Sci-Fi",Russia,RUS,Europe
1019,Doctor Hackenstein,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1020,Galeotti sul pianeta Terra,1988,"Comedy, Sci-Fi",USA,USA,North America
1021,Dr. Alien - Dallo spazio per amore,1989,"Comedy, Sci-Fi",USA,USA,North America
1022,Incidente a porto del corvo,1988,"Drama, Mystery, Sci-Fi",Australia,AUS,Oceania
1023,Lo strano caso del Dr. Frankenstein,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1024,Galactic Gigolo,1987,"Comedy, Sci-Fi",USA,USA,North America
1025,The Invisible Kid,1988,"Comedy, Sci-Fi",USA,USA,North America
1026,Killer Klowns,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1027,Klatwa doliny wezy,1988,"Adventure, Sci-Fi",Poland,POL,Europe
1028,Ginga eiyû densetsu: Waga seifuku wa hoshi no taikai,1988,"Animation, Action, Sci-Fi",Japan,JPN,Asia
1029,Al limite dell'umano,1989,"Comedy, Horror, Sci-Fi",USA,USA,North America
1030,Midnight Movie Massacre,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1031,Mirai Ninja: Keiun Kinin Gaiden,1988,"Action, Fantasy, Sci-Fi",Japan,JPN,Asia
1032,Monkey Shines - Esperimento nel terrore,1988,"Drama, Horror, Sci-Fi",USA,USA,North America
1033,Ho sposato un'aliena,1988,"Comedy, Sci-Fi",USA,USA,North America
1034,The Nest,1987,"Horror, Sci-Fi",USA,USA,North America
1035,Night Wars,1988,"Horror, Mystery, Sci-Fi",USA,USA,North America
1036,Nightfall,1988,"Mystery, Sci-Fi",USA,USA,North America
1037,Not of This Earth,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1038,Pathos - Segreta inquietudine,1988,"Horror, Mystery, Sci-Fi",Italy,ITA,Europe
1039,Pulse - Scossa mortale,1988,"Horror, Sci-Fi",USA,USA,North America
1040,Amico venuto dallo spazio,1988,"Comedy, Family, Sci-Fi",USA,USA,North America
1041,Rejuvenatrix,1988,"Horror, Sci-Fi",USA,USA,North America
1042,Il ritorno dei pomodori assassini,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1043,Il ritorno dei morti viventi 2,1988,"Comedy, Horror, Sci-Fi",USA,USA,North America
1044,The Sisterhood,1988,"Action, Adventure, Sci-Fi",USA,USA,North America
1045,Teito monogatari,1988,"Horror, Sci-Fi, Thriller",Japan,JPN,Asia
1046,The Terror Within,1989,"Horror, Sci-Fi",USA,USA,North America
1047,Tetsuo,1989,"Fantasy, Horror, Sci-Fi",Japan,JPN,Asia
1048,Essi vivono,1988,"Action, Horror, Sci-Fi",USA,USA,North America
1049,Top Line,1988,"Action, Adventure, Sci-Fi",Italy,ITA,Europe
1050,Lamù - Boy meets girl,1988,"Animation, Comedy, Sci-Fi",Japan,JPN,Asia
1051,Rock Aliens,1984,"Comedy, Musical, Sci-Fi",USA,USA,North America
1052,Warlords - I signori della guerra,1988,"Action, Sci-Fi",USA,USA,North America
1053,Alterazione genetica,1988,"Action, Horror, Sci-Fi",Canada,CAN,North America
1054,Gli angeli dell'odio,1987,"Action, Sci-Fi",USA,USA,North America
1055,Zombi 3,1988,"Action, Horror, Sci-Fi",Italy,ITA,Europe
1056,Zärtliche Chaoten II,1988,"Comedy, Sci-Fi, Romance",Germany,DEU,Europe
1057,Alien Seed,1989,Sci-Fi,USA,USA,North America
1058,Alien degli abissi,1989,"Sci-Fi, Horror",Italy,ITA,Europe
1059,Alienator,1990,"Action, Sci-Fi",USA,USA,North America
1060,Ritorno al futuro - Parte II,1989,"Adventure, Comedy, Sci-Fi",USA,USA,North America
1061,Tramonto di un eroe,1989,"Sci-Fi, Drama",USA,USA,North America
1062,Bodo - Eine ganz normale Familie,1989,"Comedy, Romance, Sci-Fi",Germany,DEU,Europe
1063,Bunker Palace Hôtel,1989,Sci-Fi,France,FRA,Europe
1064,C.H.U.D. II: Bud the Chud,1989,"Comedy, Horror, Sci-Fi",USA,USA,North America
1065,La morte avrà i suoi occhi,1987,"Mystery, Sci-Fi, Thriller",USA,USA,North America
1066,Cyborg,1989,"Action, Sci-Fi, Thriller",USA,USA,North America
1067,Dans le ventre du dragon,1989,"Comedy, Drama, Sci-Fi",Canada,CAN,North America
1068,Deadly Weapon,1989,"Drama, Sci-Fi, Thriller",USA,USA,North America
1069,Deceit,1990,"Comedy, Sci-Fi",USA,USA,North America
1070,Creatura degli abissi,1989,"Action, Horror, Sci-Fi",USA,USA,North America
1071,Dr. Caligari,1989,"Comedy, Horror, Sci-Fi",USA,USA,North America
1072,È difficile essere un dio,1989,"Adventure, Drama, Sci-Fi",Germany,DEU,Europe
